"","Waterbody","DATE","ISITE","FSITE","AccessSite","YEAR","MONTH","DAY","DOW","MODE","ANGCNT","ANGTRIPS","SDAY","EDAY","STIME","ST","ETIME","ET","TRIPHOURS","PARTYHOURS","CTRIP","TARGET","WAE","YEP"
"1","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",1,1,"2021-7-1","2021-7-1","9:0",9,"16:30",16.5,7.5,7.5,1,"WAP",6,0
"2","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","9:0",9,"15:0",15,6,12,1,"WAP",12,0
"3","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","9:15",9.25,"11:45",11.75,2.5,5,1,"WAP",3,0
"4","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",1,1,"2021-7-1","2021-7-1","10:0",10,"14:0",14,4,4,1,"WAP",0,1
"5","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",1,1,"2021-7-1","2021-7-1","8:0",8,"11:45",11.75,3.75,3.75,1,"WAP",1,0
"6","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","6:45",6.75,"11:30",11.5,4.75,9.5,1,"WAP",5,0
"7","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","9:30",9.5,"14:0",14,4.5,9,1,"WAP",0,10
"8","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","7:0",7,"10:30",10.5,3.5,7,1,"WAP",0,6
"9","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","701","701","Bolles",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","7:30",7.5,"10:0",10,2.5,5,1,"WAP",0,1
"10","LK_ERIE_BUS_ROUTE_SIMU","2021-7-1","702","702","Sterling",2021,7,1,4,"BOAT",2,1,"2021-7-1","2021-7-1","18:30",18.5,"21:15",21.25,2.75,5.5,1,"WAP",12,0
